S-14-4-4-14-NR,0.059610843658447266,4584,[[[2, 10, 8, 11], [8, 12, 14, 7], [14, 13, 7, 13], [7, 11, 9, 2]], [[4, 11, 5, 4], [5, 7, 14, 6], [14, 13, 6, 13], [6, 2, 5, 5]], [[12, 4, 6, 13], [6, 6, 11, 11], [11, 13, 9, 3], [9, 5, 5, 3]], [[5, 13, 9, 12], [9, 11, 11, 2], [11, 3, 11, 11], [11, 3, 8, 5]]]
S-14-4-4-15-NR,0.025595903396606445,2216,[[[4, 1, 2, 6], [2, 9, 8, 12], [8, 12, 6, 5], [6, 1, 3, 7]], [[4, 6, 5, 6], [5, 12, 4, 14], [4, 5, 4, 14], [4, 7, 1, 6]], [[1, 6, 13, 6], [13, 14, 4, 5], [4, 14, 12, 9], [12, 6, 13, 7]], [[11, 6, 4, 3], [4, 5, 10, 14], [10, 9, 8, 12], [8, 7, 6, 4]]]
S-14-4-4-16-NR,0.0006880760192871094,73,[[[6, 8, 1, 5], [1, 8, 5, 14], [5, 5, 6, 11], [6, 7, 4, 3]], [[8, 5, 12, 10], [12, 14, 5, 1], [5, 11, 13, 4], [13, 3, 1, 10]], [[7, 10, 5, 1], [5, 1, 3, 13], [3, 4, 10, 11], [10, 10, 14, 11]], [[11, 1, 1, 12], [1, 13, 8, 5], [8, 11, 8, 4], [8, 11, 11, 4]]]
S-14-4-4-17-NR,0.01325082778930664,929,[[[9, 7, 7, 14], [7, 13, 12, 7], [12, 5, 5, 14], [5, 6, 5, 9]], [[3, 14, 13, 6], [13, 7, 11, 14], [11, 14, 11, 12], [11, 9, 13, 7]], [[12, 6, 3, 9], [3, 14, 1, 3], [1, 12, 14, 13], [14, 7, 12, 4]], [[9, 9, 3, 11], [3, 3, 12, 5], [12, 13, 9, 2], [9, 4, 1, 4]]]
S-14-4-4-18-NR,0.025098323822021484,2035,[[[3, 2, 5, 12], [5, 11, 2, 6], [2, 8, 9, 11], [9, 6, 4, 13]], [[4, 12, 13, 3], [13, 6, 14, 13], [14, 11, 4, 3], [4, 13, 8, 4]], [[11, 3, 4, 12], [4, 13, 6, 10], [6, 3, 9, 4], [9, 4, 8, 13]], [[3, 12, 11, 8], [11, 10, 14, 5], [14, 4, 13, 8], [13, 13, 5, 4]]]
S-14-4-4-19-NR,0.0300142765045166,2115,[[[11, 1, 5, 7], [5, 13, 6, 5], [6, 9, 14, 2], [14, 2, 9, 13]], [[4, 7, 6, 5], [6, 5, 1, 10], [1, 2, 10, 4], [10, 13, 7, 2]], [[6, 5, 4, 2], [4, 10, 9, 8], [9, 4, 7, 14], [7, 2, 9, 12]], [[5, 2, 2, 10], [2, 8, 13, 3], [13, 14, 2, 10], [2, 12, 5, 2]]]
S-14-4-4-20-NR,0.04033327102661133,3165,[[[12, 11, 7, 2], [7, 13, 2, 3], [2, 13, 6, 8], [6, 3, 5, 10]], [[11, 2, 8, 7], [8, 3, 4, 4], [4, 8, 6, 11], [6, 10, 11, 11]], [[14, 7, 6, 6], [6, 4, 7, 2], [7, 11, 11, 9], [11, 11, 2, 13]], [[14, 6, 14, 6], [14, 2, 8, 10], [8, 9, 7, 3], [7, 13, 1, 7]]]
S-14-4-4-21-NR,0.025879383087158203,1925,[[[3, 7, 4, 13], [4, 12, 1, 1], [1, 7, 6, 10], [6, 11, 5, 7]], [[8, 13, 2, 3], [2, 1, 13, 13], [13, 10, 4, 4], [4, 7, 14, 12]], [[4, 3, 1, 7], [1, 13, 12, 13], [12, 4, 7, 10], [7, 12, 13, 8]], [[8, 7, 1, 13], [1, 13, 6, 9], [6, 10, 9, 3], [9, 8, 9, 9]]]
S-14-4-4-22-NR,0.008512020111083984,562,[[[3, 4, 6, 10], [6, 1, 3, 9], [3, 10, 11, 12], [11, 8, 3, 7]], [[12, 10, 12, 1], [12, 9, 10, 1], [10, 12, 10, 5], [10, 7, 2, 5]], [[12, 1, 7, 4], [7, 1, 3, 14], [3, 5, 2, 10], [2, 5, 11, 9]], [[6, 4, 12, 13], [12, 14, 13, 2], [13, 10, 10, 4], [10, 9, 5, 1]]]
S-14-4-4-23-NR,0.011101961135864258,1036,[[[13, 5, 1, 4], [1, 14, 10, 8], [10, 2, 1, 2], [1, 1, 10, 2]], [[5, 4, 12, 8], [12, 8, 7, 1], [7, 2, 9, 11], [9, 2, 7, 12]], [[7, 8, 7, 6], [7, 1, 13, 1], [13, 11, 4, 13], [4, 12, 9, 1]], [[6, 6, 10, 3], [10, 1, 6, 12], [6, 13, 11, 4], [11, 1, 5, 8]]]
S-14-4-4-24-NR,0.007342815399169922,761,[[[12, 7, 12, 5], [12, 14, 12, 13], [12, 10, 1, 8], [1, 3, 4, 8]], [[3, 5, 14, 12], [14, 13, 11, 2], [11, 8, 1, 9], [1, 8, 4, 3]], [[3, 12, 8, 12], [8, 2, 14, 8], [14, 9, 11, 5], [11, 3, 11, 8]], [[11, 12, 2, 2], [2, 8, 11, 12], [11, 5, 13, 13], [13, 8, 3, 13]]]
S-14-4-4-25-NR,0.01204371452331543,1651,[[[7, 13, 10, 7], [10, 14, 2, 10], [2, 14, 14, 2], [14, 1, 4, 10]], [[14, 7, 11, 12], [11, 10, 14, 4], [14, 2, 9, 13], [9, 10, 5, 10]], [[11, 12, 6, 14], [6, 4, 3, 9], [3, 13, 6, 9], [6, 10, 8, 8]], [[1, 14, 9, 14], [9, 9, 2, 13], [2, 9, 14, 5], [14, 8, 1, 5]]]
S-14-4-4-26-NR,0.04287457466125488,3503,[[[12, 4, 9, 3], [9, 11, 11, 7], [11, 4, 4, 12], [4, 7, 10, 7]], [[9, 3, 12, 14], [12, 7, 4, 13], [4, 12, 12, 14], [12, 7, 1, 1]], [[3, 14, 11, 14], [11, 13, 4, 3], [4, 14, 3, 4], [3, 1, 13, 10]], [[13, 14, 8, 8], [8, 3, 14, 1], [14, 4, 13, 12], [13, 10, 11, 10]]]
S-14-4-4-27-NR,0.003643035888671875,419,[[[11, 8, 7, 3], [7, 12, 4, 4], [4, 5, 8, 14], [8, 5, 4, 2]], [[2, 3, 12, 11], [12, 4, 10, 11], [10, 14, 2, 10], [2, 2, 2, 14]], [[5, 11, 7, 13], [7, 11, 7, 12], [7, 10, 1, 11], [1, 14, 14, 8]], [[9, 13, 6, 6], [6, 12, 1, 5], [1, 11, 14, 6], [14, 8, 14, 14]]]
S-14-4-4-28-NR,0.0072667598724365234,1033,[[[2, 12, 7, 3], [7, 3, 14, 3], [14, 9, 10, 4], [10, 10, 12, 4]], [[3, 3, 1, 7], [1, 3, 4, 2], [4, 4, 2, 7], [2, 4, 4, 6]], [[3, 7, 12, 14], [12, 2, 3, 3], [3, 7, 9, 9], [9, 6, 11, 12]], [[8, 14, 12, 13], [12, 3, 11, 7], [11, 9, 13, 4], [13, 12, 4, 3]]]
S-14-4-4-29-NR,0.0011873245239257812,92,[[[9, 2, 8, 11], [8, 6, 4, 13], [4, 10, 6, 2], [6, 14, 10, 8]], [[5, 11, 6, 10], [6, 13, 9, 7], [9, 2, 14, 12], [14, 8, 2, 4]], [[9, 10, 8, 3], [8, 7, 4, 7], [4, 12, 13, 7], [13, 4, 6, 11]], [[7, 3, 13, 7], [13, 7, 11, 1], [11, 7, 10, 1], [10, 11, 2, 14]]]
S-14-4-4-30-NR,0.0019731521606445312,201,[[[9, 13, 8, 1], [8, 5, 9, 4], [9, 10, 1, 2], [1, 1, 10, 3]], [[11, 1, 14, 14], [14, 4, 10, 9], [10, 2, 7, 14], [7, 3, 14, 11]], [[4, 14, 6, 9], [6, 9, 2, 7], [2, 14, 1, 4], [1, 11, 5, 13]], [[1, 9, 10, 7], [10, 7, 11, 7], [11, 4, 5, 11], [5, 13, 3, 2]]]
