S-11-4-4-0-NR,0.06614446640014648,6082,[[[7, 7, 2, 10], [2, 1, 5, 9], [5, 5, 10, 3], [10, 9, 8, 5]], [[7, 10, 2, 2], [2, 9, 11, 6], [11, 3, 8, 9], [8, 5, 5, 2]], [[8, 2, 6, 7], [6, 6, 6, 10], [6, 9, 11, 4], [11, 2, 6, 9]], [[10, 7, 8, 4], [8, 10, 8, 9], [8, 4, 9, 3], [9, 9, 5, 3]]]
S-11-4-4-1-NR,0.05830264091491699,4438,[[[3, 10, 10, 1], [10, 2, 8, 5], [8, 5, 4, 10], [4, 2, 8, 2]], [[8, 1, 6, 1], [6, 5, 1, 1], [1, 10, 11, 9], [11, 2, 8, 1]], [[11, 1, 7, 11], [7, 1, 4, 7], [4, 9, 1, 9], [1, 1, 7, 4]], [[4, 11, 8, 2], [8, 7, 8, 8], [8, 9, 9, 1], [9, 4, 7, 7]]]
S-11-4-4-2-NR,0.001356363296508789,84,[[[1, 2, 11, 7], [11, 2, 9, 6], [9, 6, 9, 8], [9, 3, 11, 9]], [[5, 7, 5, 1], [5, 6, 1, 6], [1, 8, 8, 6], [8, 9, 5, 7]], [[10, 1, 7, 9], [7, 6, 3, 9], [3, 6, 3, 4], [3, 7, 4, 4]], [[10, 9, 1, 1], [1, 9, 3, 10], [3, 4, 6, 11], [6, 4, 3, 7]]]
S-11-4-4-3-NR,0.019994497299194336,1584,[[[4, 10, 4, 8], [4, 9, 9, 9], [9, 3, 8, 7], [8, 6, 10, 11]], [[8, 8, 3, 4], [3, 9, 11, 3], [11, 7, 9, 7], [9, 11, 11, 1]], [[10, 4, 11, 2], [11, 3, 3, 10], [3, 7, 1, 5], [1, 1, 2, 1]], [[10, 2, 5, 1], [5, 10, 8, 8], [8, 5, 10, 5], [10, 1, 9, 4]]]
S-11-4-4-4-NR,0.0357365608215332,3403,[[[4, 5, 6, 5], [6, 2, 3, 2], [3, 7, 5, 4], [5, 8, 3, 1]], [[2, 5, 11, 5], [11, 2, 5, 4], [5, 4, 3, 5], [3, 1, 2, 5]], [[1, 5, 11, 6], [11, 4, 2, 10], [2, 5, 6, 11], [6, 5, 7, 7]], [[9, 6, 9, 5], [9, 10, 4, 1], [4, 11, 3, 4], [3, 7, 9, 9]]]
S-11-4-4-5-NR,0.017099618911743164,1372,[[[10, 5, 9, 2], [9, 6, 10, 4], [10, 11, 1, 4], [1, 9, 1, 7]], [[8, 2, 5, 3], [5, 4, 7, 3], [7, 4, 2, 3], [2, 7, 4, 10]], [[11, 3, 10, 8], [10, 3, 3, 3], [3, 3, 1, 1], [1, 10, 1, 4]], [[3, 8, 4, 2], [4, 3, 3, 6], [3, 1, 3, 8], [3, 4, 4, 7]]]
S-11-4-4-6-NR,0.03348946571350098,2608,[[[10, 2, 7, 9], [7, 8, 9, 11], [9, 5, 2, 4], [2, 1, 1, 10]], [[3, 9, 9, 5], [9, 11, 11, 10], [11, 4, 11, 2], [11, 10, 11, 7]], [[10, 5, 6, 2], [6, 10, 6, 7], [6, 2, 5, 8], [5, 7, 8, 2]], [[6, 2, 4, 6], [4, 7, 11, 1], [11, 8, 5, 5], [5, 2, 8, 4]]]
S-11-4-4-7-NR,0.03055429458618164,1663,[[[6, 3, 7, 2], [7, 7, 4, 2], [4, 11, 9, 7], [9, 1, 2, 1]], [[9, 2, 10, 2], [10, 2, 4, 11], [4, 7, 11, 10], [11, 1, 2, 1]], [[6, 2, 10, 10], [10, 11, 7, 1], [7, 10, 4, 1], [4, 1, 10, 9]], [[1, 10, 3, 9], [3, 1, 5, 4], [5, 1, 7, 1], [7, 9, 2, 7]]]
S-11-4-4-8-NR,0.03213834762573242,2704,[[[4, 6, 8, 7], [8, 7, 8, 10], [8, 3, 4, 7], [4, 4, 1, 2]], [[2, 7, 8, 4], [8, 10, 1, 5], [1, 7, 9, 7], [9, 2, 3, 8]], [[4, 4, 7, 2], [7, 5, 11, 5], [11, 7, 2, 2], [2, 8, 9, 7]], [[4, 2, 10, 7], [10, 5, 7, 11], [7, 2, 2, 1], [2, 7, 8, 8]]]
S-11-4-4-9-NR,0.030037879943847656,2163,[[[8, 10, 1, 7], [1, 6, 3, 8], [3, 5, 7, 3], [7, 3, 3, 3]], [[11, 7, 4, 1], [4, 8, 2, 3], [2, 3, 9, 10], [9, 3, 1, 2]], [[6, 1, 7, 2], [7, 3, 5, 4], [5, 10, 11, 4], [11, 2, 9, 7]], [[8, 2, 2, 10], [2, 4, 5, 2], [5, 4, 4, 6], [4, 7, 9, 10]]]
S-11-4-4-10-NR,0.03293466567993164,3306,[[[10, 1, 2, 4], [2, 7, 6, 1], [6, 8, 7, 3], [7, 10, 1, 10]], [[4, 4, 6, 7], [6, 1, 7, 5], [7, 3, 11, 5], [11, 10, 8, 8]], [[8, 7, 3, 11], [3, 5, 5, 11], [5, 5, 6, 3], [6, 8, 5, 8]], [[11, 11, 4, 3], [4, 11, 8, 1], [8, 3, 10, 9], [10, 8, 8, 6]]]
