,1,2,3,4,5,6,7,8,9
0,0,0,1,45,24,0,8,2,1
1,0,0,7,39,15,10,4,1,1
2,0,2,7,19,5,1,1,0,1
3,2,6,5,23,6,4,2,0,2
4,1,2,3,45,15,0,10,2,1
5,1,1,13,32,20,6,3,0,1
6,0,0,1,21,11,1,9,2,1
7,0,2,6,39,11,3,4,1,1
8,0,0,9,64,49,24,62,19,9
9,0,0,3,22,9,1,5,0,1
10,2,4,2,41,15,0,6,0,1
11,0,0,7,54,37,1,16,6,1
12,0,0,4,42,22,1,4,0,1
13,0,1,3,45,29,6,5,1,1
14,0,0,6,54,15,2,1,1,1
15,0,0,8,68,48,27,18,9,2
16,2,5,1,36,25,0,20,4,1
17,0,1,11,28,9,5,0,1,1
18,0,2,5,69,24,2,6,3,1
19,2,7,3,48,25,2,2,1,1
20,2,3,0,12,4,1,0,0,1
21,0,1,2,15,11,3,2,0,1
22,0,3,7,37,9,3,1,2,1
23,0,0,9,27,6,5,4,3,1
24,0,0,3,27,9,3,5,0,1
25,1,1,2,42,6,1,10,0,1
26,2,8,0,65,57,2,11,9,2
27,2,3,2,22,8,0,2,1,1
28,0,0,4,44,36,8,12,5,3
29,0,1,1,20,15,0,1,1,1
30,0,2,4,25,22,3,7,1,3
31,1,3,1,38,11,2,2,1,1
32,1,3,3,46,37,4,7,5,1
33,0,2,19,32,19,6,2,0,1
34,2,6,9,47,23,5,7,1,1
35,2,6,7,38,9,2,2,1,1
36,0,0,4,26,16,2,3,0,1
37,0,0,8,35,4,2,8,0,1
38,1,3,0,22,9,1,1,0,1
39,0,1,1,25,10,0,8,2,1
40,0,0,3,30,10,2,0,0,1
41,0,2,3,8,2,0,1,1,1
42,0,1,1,31,16,5,3,2,1
43,1,2,1,23,21,2,11,1,1
44,1,2,2,23,9,2,5,0,2
45,0,1,3,47,37,15,10,7,3
46,0,2,4,20,9,0,2,0,1
47,1,2,0,21,16,2,4,3,1
48,0,0,9,47,21,4,8,0,1
49,0,2,2,15,7,1,1,0,1
50,0,0,3,27,15,0,3,1,3
51,1,2,1,42,12,1,0,0,1
52,0,0,7,49,17,5,9,1,2
53,0,1,1,28,13,4,1,4,2
54,0,2,0,15,13,1,6,2,1
55,1,1,2,18,6,0,2,1,1
56,0,2,2,35,3,0,2,0,1
57,0,0,2,34,23,1,2,1,1
58,0,1,9,16,3,1,2,0,1
59,1,1,0,30,12,0,13,2,1
60,0,0,2,15,7,2,2,0,1
61,0,0,8,46,19,4,6,1,1
62,0,1,4,9,11,2,4,2,2
63,0,1,8,46,23,3,1,2,1
64,1,3,5,34,9,3,3,0,1
65,1,4,4,35,22,8,3,0,1
66,1,3,5,26,11,2,2,1,1
67,1,3,2,40,16,0,4,0,1
68,0,0,11,31,10,1,1,1,1
69,0,0,14,58,32,18,17,3,4
70,0,0,4,25,7,1,0,0,1
71,0,1,4,29,12,1,6,1,1
72,0,1,4,29,17,0,5,4,1
73,1,2,1,13,6,0,3,1,1
