,1,2,3,4,5,6,7,8,9
0,0,1,8,19,9,3,0,0,1
1,1,1,2,8,4,2,0,0,1
2,1,2,4,4,2,1,0,1,1
3,1,2,4,9,3,0,1,0,1
4,1,2,4,10,1,1,0,0,1
5,3,5,2,1,3,1,1,0,1
6,2,4,5,9,3,1,0,0,1
7,1,5,6,23,12,2,0,0,1
8,0,0,6,11,2,1,0,0,1
9,1,2,2,11,3,0,2,0,1
10,1,3,2,16,4,0,1,0,1
11,2,4,1,9,3,0,0,1,1
12,0,1,5,8,2,1,0,0,1
13,1,4,8,6,3,1,0,0,1
14,1,1,6,6,3,1,0,0,1
15,1,2,9,8,4,2,0,0,2
16,3,4,2,17,2,1,0,0,1
17,1,3,4,4,2,1,1,0,1
18,1,2,1,14,3,0,0,1,1
19,2,4,3,22,8,0,4,0,1
20,0,0,8,9,2,0,1,0,1
21,2,4,5,6,4,1,0,0,1
22,3,5,2,4,4,1,0,0,1
23,0,0,5,7,1,1,1,1,1
24,1,3,1,6,2,1,0,0,1
25,2,4,0,2,1,0,0,1,1
26,2,3,5,2,0,1,1,0,1
27,1,1,8,6,1,3,1,0,1
28,0,2,7,12,5,1,1,0,1
29,3,5,0,4,1,0,3,1,1
30,2,4,0,5,0,0,1,0,1
31,0,1,2,18,4,0,2,0,1
32,1,3,6,26,6,2,1,0,1
33,0,0,2,7,6,1,0,0,1
34,2,3,3,10,4,1,0,0,1
35,2,4,7,3,1,1,0,0,1
36,1,3,10,5,3,1,0,0,1
37,1,3,6,13,5,2,0,0,1
38,2,3,10,13,1,2,0,0,1
39,1,2,1,11,5,0,1,0,1
40,1,1,5,17,3,1,0,0,1
41,1,2,9,6,1,1,0,0,1
42,1,1,10,12,3,2,1,0,1
43,1,2,3,7,1,2,0,0,1
44,3,4,1,1,0,1,1,0,1
45,2,3,1,7,1,1,0,0,1
46,2,4,4,15,1,1,0,0,1
47,1,1,2,17,4,1,1,0,1
48,1,1,3,20,4,2,1,0,1
49,1,2,2,4,2,1,0,1,1
50,0,1,3,14,4,1,0,0,1
51,1,1,4,13,3,1,1,0,1
52,1,3,6,3,3,1,0,0,1
53,0,1,3,20,13,4,0,2,2
54,2,2,0,9,2,0,1,0,1
55,1,1,2,9,2,1,0,0,1
56,1,3,5,8,6,2,1,0,1
57,1,3,5,3,2,1,0,0,1
58,3,7,10,12,2,1,0,0,1
59,1,2,1,6,1,0,1,0,1
60,1,1,2,22,6,1,2,1,1
61,0,2,2,8,3,1,0,0,1
62,1,3,2,7,1,0,1,0,1
63,1,4,4,12,4,1,1,0,1
64,1,5,8,2,3,2,0,1,1
65,2,3,1,5,1,1,0,0,1
66,2,4,7,12,4,1,0,0,1
67,1,2,5,13,2,0,3,0,1
68,2,5,1,1,1,1,0,0,1
69,1,1,1,10,2,1,0,0,1
70,1,2,1,10,3,1,0,0,1
71,1,2,4,8,2,1,1,0,1
72,2,3,2,7,0,1,1,0,1
73,3,4,2,2,0,1,0,0,1
74,1,2,0,10,1,0,2,0,1
75,1,2,2,16,2,0,2,0,1
76,2,3,5,5,2,1,0,0,1
77,2,2,1,17,1,1,1,0,1
78,2,4,6,15,1,1,0,0,1
79,0,0,4,15,5,2,2,1,1
80,2,4,2,4,2,1,0,0,1
81,2,3,3,2,1,1,0,0,1
82,2,3,2,10,3,1,1,0,1
83,2,2,5,4,1,1,0,0,1
84,2,3,0,4,0,0,1,0,1
85,2,3,2,10,3,0,2,0,1
86,1,3,3,6,4,1,0,0,1
87,1,3,3,4,1,1,0,0,1
88,2,3,1,4,1,0,2,0,1
89,2,3,1,4,1,1,0,0,1
90,0,0,1,12,3,1,0,0,1
91,1,2,1,7,1,2,0,0,1
92,3,4,3,5,0,1,1,0,1
93,0,0,1,7,3,1,0,0,1
94,2,6,1,0,0,1,0,0,1
95,2,3,1,3,0,1,0,0,1
96,2,4,2,9,3,1,0,0,1
97,3,3,0,7,1,0,1,0,1
98,2,3,5,13,1,2,0,0,1
99,0,1,4,6,2,2,0,0,1
100,3,5,4,1,1,1,0,0,1
101,2,4,1,9,1,0,1,0,1
102,2,3,1,5,2,1,0,0,1
103,1,5,4,5,0,4,0,0,1
104,2,4,3,14,4,2,0,0,1
105,2,2,1,4,0,0,1,0,1
106,1,2,3,17,7,2,1,0,1
107,2,2,2,19,1,1,1,0,1
108,2,4,4,9,5,1,0,0,1
109,1,1,3,24,6,2,0,0,1
110,2,3,0,4,1,1,0,0,1
111,1,4,8,8,1,1,0,0,1
112,0,4,3,5,1,1,0,0,1
113,2,2,2,5,1,1,1,0,1
114,0,2,2,3,3,1,0,0,1
115,2,4,7,2,2,1,1,0,1
116,3,6,0,5,1,1,2,1,1
117,2,3,3,10,3,1,2,0,1
118,3,3,1,4,1,1,0,0,1
119,1,2,3,12,3,1,1,0,1
120,3,5,0,10,5,1,1,1,1
121,2,4,2,4,1,1,0,1,1
122,0,0,4,1,2,1,0,0,1
123,1,2,2,5,5,1,0,1,1
124,1,1,3,14,4,1,1,0,1
125,3,4,0,2,1,0,1,1,1
126,0,2,3,23,3,1,0,0,1
127,1,3,1,8,5,1,0,0,1
128,2,3,0,9,2,0,2,0,1
129,3,5,0,11,2,1,1,0,1
130,3,7,1,2,2,1,0,0,1
131,1,1,1,8,3,0,1,0,1
132,1,1,3,4,2,1,0,0,1
133,0,1,5,6,2,1,0,0,1
134,1,2,2,7,2,1,0,0,1
135,1,5,25,28,6,2,0,1,1
136,1,4,0,8,3,1,0,0,1
137,0,0,3,7,4,1,0,0,1
138,2,2,2,14,2,1,1,0,1
139,0,0,6,16,0,1,1,0,1
140,1,2,6,17,6,0,3,0,1
141,1,1,3,12,2,1,0,0,1
142,1,4,3,7,1,2,0,0,1
143,0,1,6,9,6,1,0,0,1
144,3,3,0,2,0,1,0,0,1
145,2,5,9,8,4,2,0,0,1
146,2,4,1,4,1,1,0,0,1
147,3,8,2,2,2,0,1,0,1
148,1,3,3,5,3,1,1,0,1
149,0,0,8,32,9,1,2,1,1
150,0,1,8,11,4,1,1,0,1
151,3,6,7,4,0,1,0,0,1
152,0,1,5,12,4,1,1,0,1
153,2,4,9,14,3,1,0,0,1
154,1,1,1,24,5,1,1,0,1
155,1,5,5,6,1,1,0,0,1
156,1,1,1,30,6,1,0,0,1
157,0,1,4,5,1,1,1,3,1
158,2,2,5,7,2,1,0,0,1
159,2,6,1,8,5,1,0,0,1
160,2,3,1,2,1,1,0,0,1
161,1,5,1,17,2,1,0,1,1
162,2,3,3,2,0,1,0,0,1
163,1,3,3,2,1,1,0,0,1
164,2,4,4,4,0,1,1,0,1
165,2,3,4,2,0,1,0,0,1
166,2,4,1,7,1,1,0,0,1
167,3,5,4,3,1,0,1,0,1
168,3,5,0,2,1,1,0,0,1
169,0,0,5,15,6,1,1,0,1
170,0,0,3,7,4,2,1,0,1
171,3,5,1,21,3,0,2,0,1
172,1,2,5,7,1,1,0,0,1
173,1,6,5,5,1,1,0,0,1
174,1,1,1,23,6,2,1,0,1
175,0,0,14,7,1,1,0,0,1
176,2,5,4,1,1,2,0,0,1
177,2,6,9,16,3,2,0,0,1
178,3,5,6,9,3,2,0,0,1
179,2,3,3,4,0,2,0,0,1
180,0,0,3,11,3,2,1,0,1
181,2,5,2,4,4,1,1,1,1
182,1,2,0,7,2,2,0,0,1
183,1,3,0,2,4,0,0,1,1
184,2,3,1,12,4,1,2,0,1
185,2,3,3,19,3,0,2,0,1
186,1,1,6,17,4,1,1,0,1
187,1,1,2,15,4,1,0,0,1
188,0,2,5,10,2,2,0,0,1
189,2,3,4,4,1,1,0,0,1
190,1,1,4,8,2,1,0,0,1
191,3,3,7,2,0,1,0,0,1
192,0,0,4,16,7,0,1,0,1
193,1,6,5,20,19,4,2,0,1
194,1,5,8,5,1,1,3,0,1
195,3,4,4,2,0,1,0,0,1
196,2,4,2,34,8,2,1,0,1
197,1,4,0,5,2,0,1,1,1
198,2,3,1,4,2,1,0,0,1
199,1,4,1,7,1,2,0,0,1
200,1,1,6,12,2,1,1,0,1
201,2,5,7,13,2,1,1,0,1
202,1,1,3,13,4,2,1,1,1
203,1,2,6,10,1,0,1,0,1
204,2,3,3,3,2,0,0,1,1
205,2,2,4,3,2,1,0,0,1
206,1,1,4,12,6,3,1,1,1
207,2,3,0,2,2,1,0,0,1
208,0,0,3,14,4,1,0,0,1
209,1,3,0,6,1,0,1,0,1
210,0,2,2,2,2,1,0,0,1
211,1,4,8,24,10,2,1,0,1
212,0,1,1,14,6,1,1,0,1
213,1,1,2,10,1,1,0,0,1
214,2,4,6,9,1,0,1,0,1
215,0,3,2,6,3,1,0,0,1
216,1,2,7,8,4,2,0,0,1
217,2,6,8,12,1,0,1,0,1
218,1,5,7,12,3,2,0,0,1
219,1,2,0,15,3,0,2,0,1
220,2,4,4,17,6,4,0,1,1
221,0,1,3,11,1,2,0,0,1
222,2,3,3,3,1,1,0,0,1
223,1,1,1,10,2,1,0,0,1
224,1,3,4,6,3,1,1,0,1
225,0,0,3,11,3,2,0,2,1
226,2,6,9,22,5,3,1,0,1
227,2,2,3,14,3,1,0,0,1
228,2,2,6,12,3,2,0,0,1
229,2,4,6,11,1,1,0,0,1
230,2,3,3,6,2,1,0,0,1
231,1,3,2,10,5,2,0,0,1
232,1,3,3,16,4,1,0,0,1
233,2,5,5,8,4,2,0,0,1
234,2,3,3,6,2,0,2,0,1
235,1,2,3,13,4,1,0,0,1
236,0,3,5,7,1,1,0,0,1
237,3,7,5,3,1,1,0,0,1
238,1,2,3,14,4,0,2,2,1
239,1,1,3,3,2,0,1,0,1
240,1,2,3,11,1,0,3,0,1
241,1,3,4,14,4,2,0,0,1
242,2,3,2,9,0,0,2,0,1
243,3,3,6,2,0,1,0,0,1
244,1,2,4,6,2,1,0,0,1
245,0,2,2,5,1,0,1,0,1
246,2,5,3,2,0,1,0,0,1
247,1,1,2,6,1,1,0,0,1
248,1,4,7,6,1,1,0,0,1
249,2,3,2,2,0,1,1,0,1
250,2,4,2,3,1,1,0,0,1
251,1,4,2,4,1,1,0,0,1
252,1,4,1,10,1,0,1,0,1
253,2,3,5,13,1,1,0,0,1
254,0,2,6,3,0,0,1,0,1
255,2,3,4,13,2,1,0,0,1
256,0,2,1,12,7,1,0,0,1
257,1,1,2,5,3,3,0,0,1
258,2,4,2,11,0,3,1,0,1
259,2,3,4,4,3,0,1,0,1
260,1,3,2,10,6,0,2,0,1
261,1,4,5,2,1,1,0,0,1
262,1,1,5,13,6,1,1,1,1
263,1,3,5,15,6,1,0,0,1
264,1,2,6,14,1,1,0,0,1
265,1,2,4,6,1,1,0,0,1
266,1,2,3,1,1,2,0,0,1
267,2,2,4,6,0,0,2,0,1
268,1,2,3,6,0,1,0,0,1
269,1,1,2,10,3,1,1,0,1
270,2,3,8,11,2,2,0,0,2
271,0,0,3,10,3,2,2,1,1
272,0,1,5,5,2,3,2,1,3
273,0,1,5,5,5,1,1,0,1
274,3,5,1,4,3,1,0,0,1
275,3,3,1,3,0,1,0,0,1
276,0,0,11,25,6,3,0,0,1
277,2,4,1,6,2,0,1,0,1
278,0,0,6,3,1,3,0,0,1
279,1,1,7,5,1,1,0,0,1
280,1,3,2,5,0,1,0,0,1
281,2,3,3,8,2,1,0,0,1
282,1,3,1,16,3,1,0,0,1
283,1,2,5,8,2,1,0,0,1
284,2,4,6,9,2,1,0,0,1
285,1,1,4,11,1,2,0,0,1
286,0,1,5,9,4,1,0,0,1
287,2,2,4,6,0,1,0,0,1
288,1,2,4,13,3,1,0,0,1
289,0,2,6,24,8,0,3,1,1
290,1,3,3,10,1,0,1,0,1
291,0,2,1,21,11,1,1,0,1
292,2,3,3,4,2,1,0,0,1
293,1,2,2,9,2,0,1,0,1
294,2,6,8,25,6,1,1,0,1
295,3,5,1,5,0,1,0,0,1
296,0,0,2,8,2,1,0,0,1
297,1,1,0,19,4,0,2,0,1
298,2,3,1,5,0,1,1,0,1
299,1,2,9,21,7,1,0,0,1
300,1,1,5,5,0,1,0,0,1
301,2,3,2,1,0,1,0,0,1
302,2,2,4,9,1,0,1,0,1
303,2,2,0,6,3,1,0,0,1
304,2,4,2,2,2,1,0,0,1
305,0,0,2,26,8,1,0,1,1
306,1,3,4,15,4,2,1,0,1
307,3,3,3,1,0,1,0,0,1
308,2,4,4,4,1,0,1,0,1
309,1,2,2,10,5,1,2,1,1
310,3,7,7,7,1,2,0,0,1
311,2,5,7,10,3,1,0,0,1
312,0,1,7,26,9,2,1,0,1
313,2,4,5,6,0,1,0,0,1
314,1,2,3,3,1,1,0,0,1
315,2,6,5,17,4,2,1,0,1
316,2,5,3,10,4,1,0,0,1
317,2,4,1,9,1,1,0,0,1
318,1,4,6,11,1,2,0,0,1
319,0,0,9,11,3,1,0,0,1
320,0,0,8,24,7,1,0,0,1
321,2,4,4,9,3,1,0,1,1
322,3,6,4,8,4,1,0,0,1
323,2,4,5,6,3,1,0,0,1
324,2,3,1,3,2,1,0,0,1
325,2,4,1,2,0,1,0,0,1
326,2,3,0,12,7,1,0,0,1
327,0,0,3,12,4,1,0,0,1
328,2,5,1,9,0,0,1,0,1
329,2,6,6,16,3,3,0,0,1
330,2,3,1,8,2,1,1,0,1
331,1,2,0,9,2,1,0,0,1
332,0,2,4,8,2,1,1,0,1
333,3,4,1,5,1,1,0,0,1
334,1,4,4,2,2,1,0,0,1
335,2,2,1,12,2,0,1,0,1
336,3,4,2,1,0,1,0,0,1
337,1,2,4,7,3,1,0,0,1
338,3,5,4,3,3,0,0,1,1
339,2,8,2,10,8,3,0,1,1
340,2,5,1,13,2,2,0,0,2
341,1,3,4,4,1,1,1,0,1
342,1,2,3,8,5,1,0,0,1
343,1,4,2,1,0,1,0,0,1
344,0,2,0,16,4,1,0,0,1
345,2,3,4,8,3,1,1,0,1
346,2,5,0,8,2,0,1,0,1
347,0,0,4,14,2,0,1,1,1
348,2,3,4,12,0,0,2,0,1
349,0,1,3,9,2,0,1,1,1
350,0,1,4,12,5,0,1,0,1
351,2,4,1,0,1,1,0,0,1
352,1,1,4,11,3,1,0,0,1
353,1,1,1,12,5,0,2,0,1
354,2,4,2,7,1,0,2,0,1
355,2,3,2,14,5,1,1,0,1
356,1,1,14,18,7,4,0,0,2
357,2,2,2,5,1,1,0,0,1
358,0,1,3,13,2,1,0,0,1
359,1,3,3,5,2,1,0,0,1
360,0,2,2,3,0,1,0,0,1
361,1,3,5,2,0,1,0,0,1
362,2,5,1,15,1,0,1,0,1
363,1,1,10,6,2,1,0,0,1
364,2,4,0,19,5,1,0,0,1
365,1,2,4,3,0,1,0,0,1
366,1,1,4,9,1,1,1,0,1
367,2,3,2,21,5,1,2,0,1
368,2,7,2,4,3,0,1,0,1
369,2,4,2,6,1,1,0,0,1
370,1,3,1,9,4,0,1,1,1
371,0,2,0,8,4,1,0,0,1
372,1,2,5,2,0,1,0,0,1
373,1,2,7,16,4,2,3,1,1
374,2,4,1,3,1,1,0,0,1
375,3,3,0,7,2,0,2,0,1
376,3,4,0,2,0,0,1,0,1
377,3,7,5,3,2,3,0,0,1
378,3,5,7,10,1,1,0,0,1
379,1,2,8,8,2,1,0,0,1
380,1,5,7,19,7,3,1,0,1
381,0,2,1,4,2,1,0,1,1
382,0,2,2,14,2,1,0,0,1
383,1,4,2,15,3,1,1,0,1
384,3,4,1,2,0,1,0,0,1
385,2,2,4,9,2,1,0,0,1
386,2,5,1,3,3,1,1,0,1
387,2,4,1,15,5,1,0,0,1
388,0,1,3,16,0,1,0,0,1
389,1,2,3,11,3,1,0,0,1
390,2,4,4,3,2,2,0,0,1
391,0,0,3,6,0,2,1,0,1
392,1,2,7,4,1,1,0,0,1
393,1,3,2,10,2,0,1,0,1
394,2,2,1,28,3,2,6,0,1
395,0,1,5,18,4,1,1,0,1
396,2,2,3,7,0,1,0,0,1
397,2,3,2,3,1,1,0,0,1
398,3,3,1,3,0,1,0,0,1
399,3,5,1,8,0,1,0,0,1
400,0,0,5,17,8,1,0,0,1
401,1,3,6,7,4,1,0,0,1
402,3,5,0,3,2,0,1,0,1
403,1,3,7,11,1,1,1,0,1
404,2,4,5,7,3,4,0,0,1
405,1,2,3,17,3,0,1,0,1
406,1,2,8,15,2,1,0,0,1
407,0,0,3,8,2,1,0,0,1
408,0,2,0,9,3,0,1,0,1
409,1,3,3,7,4,2,0,0,2
410,1,2,6,4,0,0,1,0,1
411,1,1,2,5,4,1,0,0,1
412,2,5,0,8,1,0,1,0,1
413,2,2,7,24,7,2,2,1,1
414,0,0,7,14,3,1,1,0,1
415,1,5,1,2,0,1,0,0,1
416,0,3,1,6,2,0,2,0,1
417,2,6,3,9,5,1,2,0,1
418,3,5,0,3,0,2,1,0,1
419,3,5,0,3,2,1,0,0,1
420,1,3,5,13,7,2,1,0,1
421,1,3,2,1,1,1,0,0,1
422,1,1,4,3,1,1,0,0,1
423,1,2,4,15,4,2,0,0,2
424,2,2,1,21,12,4,4,1,1
425,1,4,1,5,1,1,0,0,1
426,2,5,3,10,8,2,2,1,1
427,3,4,7,7,0,1,1,0,1
428,0,1,12,40,6,0,2,0,1
429,0,0,2,11,3,1,1,0,1
430,1,3,2,8,1,1,0,0,1
431,3,5,2,6,2,2,0,0,1
432,2,2,3,10,0,1,0,0,1
433,1,3,3,5,0,1,0,0,1
434,3,5,6,7,1,1,1,0,1
435,1,3,2,5,1,1,0,0,1
436,2,2,3,8,0,1,1,0,1
437,3,3,7,6,0,1,0,0,1
438,2,4,1,8,4,1,1,0,1
439,0,1,5,8,4,2,0,0,1
440,1,5,27,37,10,2,1,0,1
441,3,5,1,15,1,0,2,0,1
442,1,8,7,17,12,1,0,2,1
443,3,4,3,0,0,1,0,0,1
444,0,2,2,7,1,2,2,0,1
445,0,1,2,8,2,1,0,0,1
446,2,3,6,3,0,1,0,1,1
447,1,1,7,4,1,3,0,0,1
