,1,2,3,4,5,6,7,8,9
0,0,1,8,19,9,3,0,0,1
1,2,4,1,8,8,4,0,0,1
2,0,4,4,1,1,1,0,0,1
3,3,5,2,3,1,2,0,0,1
4,1,2,5,13,3,1,0,0,1
5,1,1,1,17,6,1,0,0,1
6,2,3,1,6,3,0,2,0,1
7,0,2,2,10,4,1,0,0,1
8,1,4,14,32,15,4,4,0,1
9,0,0,4,6,1,1,0,0,1
10,2,4,2,20,4,0,2,0,1
11,1,4,5,14,4,1,0,1,1
12,0,1,6,12,3,1,1,0,1
13,0,1,7,12,9,1,0,0,1
14,1,1,3,9,3,1,0,0,1
15,1,4,13,19,8,3,2,0,1
16,2,5,5,19,6,1,2,0,1
17,1,4,8,12,3,1,0,1,1
18,0,2,4,22,2,1,2,1,1
19,3,6,2,8,0,2,0,0,1
20,3,4,0,4,1,1,0,0,1
21,2,4,3,1,0,1,0,0,1
22,2,5,2,11,0,1,1,0,1
23,0,0,5,7,1,1,1,1,1
24,2,4,1,12,0,0,2,0,1
25,1,1,2,14,2,0,2,0,1
26,3,7,0,9,4,2,0,0,1
27,2,3,3,3,1,1,0,0,1
28,1,2,8,13,3,1,1,0,1
29,1,5,0,2,0,0,1,0,1
30,2,5,1,8,1,1,0,0,1
31,1,3,1,3,2,1,0,0,1
32,1,3,6,26,6,2,1,0,1
33,1,4,6,3,1,2,0,0,1
34,2,3,3,10,4,1,0,0,1
35,2,4,3,15,1,1,0,1,1
36,1,3,3,15,7,1,1,0,1
37,1,3,3,6,1,0,1,0,1
38,1,3,0,14,3,1,1,0,1
39,0,0,3,12,4,0,2,1,1
40,2,2,5,11,1,1,0,0,1
41,1,1,3,6,1,1,0,0,1
42,0,1,1,10,4,2,1,0,1
43,2,3,0,15,1,0,2,0,1
44,2,5,1,7,1,1,0,0,1
45,1,3,7,39,8,1,2,1,1
46,1,4,1,3,0,0,1,0,1
47,2,3,1,4,1,0,1,0,1
48,1,1,2,20,7,2,0,0,1
49,1,2,3,6,2,1,0,0,1
50,0,0,1,19,11,0,0,1,3
51,1,2,2,24,6,1,0,0,1
52,1,2,5,14,1,2,0,0,2
53,0,1,3,20,13,4,0,2,2
54,2,2,0,9,2,0,1,0,1
55,1,2,3,7,2,1,1,0,1
56,1,3,5,3,0,2,0,0,1
57,0,0,3,13,6,1,0,0,1
58,0,1,4,6,1,1,1,0,1
59,1,1,3,5,0,0,1,0,1
60,1,2,3,10,5,3,1,0,1
61,1,3,0,12,2,1,2,0,1
62,1,2,4,2,1,1,0,0,1
63,1,3,5,12,3,1,0,0,1
64,3,5,4,18,6,2,3,0,1
65,1,1,0,15,4,2,0,0,1
66,2,4,11,14,4,2,0,0,1
67,1,3,5,15,3,0,1,0,1
68,1,2,7,6,2,1,0,0,1
69,1,3,5,13,7,1,1,1,1
70,1,3,4,8,4,1,0,0,1
71,1,1,4,8,2,1,1,0,1
72,1,2,2,8,2,0,1,1,1
73,3,4,2,2,0,1,0,0,1
74,1,2,0,10,1,0,2,0,1
75,1,2,4,19,6,1,1,0,1
76,3,5,3,5,3,1,0,0,1
77,0,0,3,6,1,1,0,0,1
78,0,0,9,16,4,3,0,0,1
79,0,0,4,15,5,2,2,1,1
80,2,4,2,4,2,1,0,0,1
81,2,4,4,18,5,1,0,0,1
82,0,1,15,21,12,3,1,0,1
83,2,5,5,19,6,1,1,0,1
84,2,3,1,4,0,0,1,0,1
85,0,2,1,18,8,1,1,0,1
86,1,2,3,10,1,2,0,0,1
87,2,6,0,14,3,0,2,0,1
88,3,7,0,5,3,1,0,1,1
89,2,4,3,9,5,1,0,0,1
90,2,2,3,4,0,0,1,0,1
91,1,3,8,10,7,1,1,0,1
92,3,5,0,15,1,0,1,1,1
93,0,0,2,9,6,1,0,0,1
94,0,1,9,20,2,1,1,0,1
95,1,2,4,12,2,2,1,0,1
96,1,3,5,8,1,1,0,0,1
97,2,3,0,13,0,0,3,0,1
98,2,2,1,14,6,1,0,0,2
99,0,0,12,20,8,2,2,1,1
100,3,5,6,5,0,2,0,0,1
