S-14-5-5-9-NR,0.2946817874908447,35916,[[[8, 10, 7, 3], [7, 6, 12, 8], [12, 5, 12, 7], [12, 3, 3, 3], [3, 3, 14, 4]], [[11, 3, 1, 2], [1, 8, 3, 9], [3, 7, 14, 10], [14, 3, 2, 13], [2, 4, 1, 12]], [[6, 2, 7, 13], [7, 9, 12, 2], [12, 10, 5, 4], [5, 13, 11, 4], [11, 12, 9, 12]], [[8, 13, 13, 7], [13, 2, 2, 13], [2, 4, 5, 4], [5, 4, 7, 5], [7, 12, 10, 6]], [[2, 7, 13, 6], [13, 13, 1, 9], [1, 4, 4, 10], [4, 5, 12, 12], [12, 6, 1, 12]]]
S-14-5-5-109-NR,0.20946860313415527,28079,[[[5, 4, 14, 11], [14, 8, 3, 5], [3, 8, 12, 9], [12, 9, 9, 6], [9, 1, 2, 2]], [[4, 11, 9, 3], [9, 5, 11, 13], [11, 9, 1, 12], [1, 6, 6, 10], [6, 2, 9, 4]], [[8, 3, 3, 10], [3, 13, 12, 3], [12, 12, 7, 14], [7, 10, 11, 11], [11, 4, 5, 14]], [[10, 10, 8, 3], [8, 3, 7, 6], [7, 14, 3, 3], [3, 11, 1, 12], [1, 14, 9, 1]], [[2, 3, 7, 13], [7, 6, 7, 4], [7, 3, 11, 8], [11, 12, 8, 9], [8, 1, 5, 7]]]
S-14-5-5-110-NR,0.3864865303039551,44025,[[[7, 13, 14, 9], [14, 14, 2, 3], [2, 10, 8, 11], [8, 4, 1, 9], [1, 7, 8, 7]], [[12, 9, 10, 13], [10, 3, 11, 4], [11, 11, 5, 5], [5, 9, 6, 6], [6, 7, 5, 9]], [[11, 13, 2, 7], [2, 4, 9, 13], [9, 5, 8, 5], [8, 6, 11, 3], [11, 9, 9, 4]], [[12, 7, 5, 7], [5, 13, 8, 4], [8, 5, 3, 8], [3, 3, 4, 14], [4, 4, 2, 2]], [[9, 7, 8, 7], [8, 4, 6, 9], [6, 8, 6, 6], [6, 14, 4, 12], [4, 2, 1, 2]]]
S-14-5-5-111-NR,0.2873501777648926,37239,[[[14, 4, 14, 7], [14, 6, 12, 5], [12, 8, 7, 4], [7, 4, 13, 12], [13, 7, 7, 12]], [[10, 7, 13, 6], [13, 5, 8, 13], [8, 4, 1, 6], [1, 12, 11, 13], [11, 12, 13, 11]], [[3, 6, 4, 10], [4, 13, 8, 7], [8, 6, 2, 14], [2, 13, 7, 13], [7, 11, 11, 9]], [[4, 10, 2, 5], [2, 7, 2, 6], [2, 14, 8, 4], [8, 13, 6, 4], [6, 9, 12, 9]], [[7, 5, 13, 9], [13, 6, 1, 4], [1, 4, 12, 3], [12, 4, 1, 11], [1, 9, 8, 7]]]
S-14-5-5-112-NR,0.2917780876159668,38856,[[[8, 14, 12, 8], [12, 11, 8, 5], [8, 10, 6, 4], [6, 10, 4, 12], [4, 5, 12, 10]], [[8, 8, 11, 12], [11, 5, 3, 12], [3, 4, 8, 9], [8, 12, 6, 7], [6, 10, 7, 10]], [[13, 12, 7, 5], [7, 12, 1, 2], [1, 9, 2, 11], [2, 7, 4, 5], [4, 10, 11, 7]], [[3, 5, 11, 13], [11, 2, 2, 10], [2, 11, 14, 13], [14, 5, 1, 2], [1, 7, 6, 4]], [[4, 13, 5, 9], [5, 10, 11, 8], [11, 13, 9, 1], [9, 2, 8, 7], [8, 4, 10, 4]]]
S-14-5-5-113-NR,0.40872907638549805,54466,[[[1, 11, 5, 5], [5, 14, 7, 6], [7, 13, 7, 4], [7, 12, 8, 7], [8, 5, 1, 5]], [[8, 5, 12, 14], [12, 6, 1, 9], [1, 4, 6, 3], [6, 7, 10, 13], [10, 5, 9, 4]], [[6, 14, 10, 5], [10, 9, 11, 8], [11, 3, 11, 8], [11, 13, 3, 5], [3, 4, 4, 7]], [[7, 5, 11, 5], [11, 8, 11, 4], [11, 8, 4, 12], [4, 5, 1, 1], [1, 7, 1, 8]], [[14, 5, 3, 2], [3, 4, 1, 5], [1, 12, 12, 3], [12, 1, 10, 10], [10, 8, 5, 8]]]
S-14-5-5-114-NR,0.20009708404541016,25367,[[[4, 10, 6, 6], [6, 2, 12, 2], [12, 6, 14, 2], [14, 11, 13, 8], [13, 4, 11, 7]], [[10, 6, 2, 10], [2, 2, 13, 9], [13, 2, 5, 6], [5, 8, 9, 14], [9, 7, 1, 12]], [[3, 10, 11, 7], [11, 9, 10, 8], [10, 6, 4, 8], [4, 14, 11, 13], [11, 12, 9, 4]], [[9, 7, 14, 14], [14, 8, 6, 10], [6, 8, 5, 11], [5, 13, 2, 2], [2, 4, 11, 14]], [[9, 14, 3, 5], [3, 10, 10, 10], [10, 11, 11, 2], [11, 2, 11, 9], [11, 14, 14, 13]]]
S-14-5-5-115-NR,0.024329423904418945,3048,[[[5, 4, 9, 3], [9, 13, 3, 1], [3, 2, 5, 14], [5, 9, 14, 13], [14, 2, 6, 3]], [[13, 3, 8, 12], [8, 1, 10, 4], [10, 14, 3, 3], [3, 13, 14, 3], [14, 3, 14, 9]], [[14, 12, 4, 14], [4, 4, 13, 3], [13, 3, 13, 11], [13, 3, 14, 13], [14, 9, 9, 12]], [[5, 14, 7, 1], [7, 3, 12, 4], [12, 11, 9, 6], [9, 13, 10, 4], [10, 12, 11, 13]], [[11, 1, 11, 5], [11, 4, 12, 11], [12, 6, 5, 6], [5, 4, 10, 8], [10, 13, 1, 9]]]
S-14-5-5-116-NR,0.2786073684692383,37716,[[[14, 12, 10, 2], [10, 10, 8, 2], [8, 9, 6, 13], [6, 12, 9, 6], [9, 5, 1, 8]], [[13, 2, 1, 9], [1, 2, 13, 9], [13, 13, 2, 14], [2, 6, 7, 8], [7, 8, 11, 3]], [[2, 9, 11, 9], [11, 9, 6, 3], [6, 14, 8, 9], [8, 8, 2, 9], [2, 3, 12, 8]], [[3, 9, 10, 4], [10, 3, 10, 7], [10, 9, 9, 5], [9, 9, 12, 14], [12, 8, 8, 6]], [[8, 4, 14, 4], [14, 7, 7, 5], [7, 5, 1, 7], [1, 14, 7, 10], [7, 6, 7, 14]]]
S-14-5-5-117-NR,0.6766815185546875,86202,[[[4, 3, 3, 6], [3, 3, 7, 2], [7, 4, 3, 7], [3, 7, 7, 11], [7, 14, 3, 7]], [[9, 6, 7, 1], [7, 2, 3, 12], [3, 7, 7, 11], [7, 11, 3, 10], [3, 7, 7, 12]], [[12, 1, 11, 3], [11, 12, 8, 12], [8, 11, 9, 8], [9, 10, 7, 4], [7, 12, 2, 3]], [[12, 3, 6, 2], [6, 12, 10, 2], [10, 8, 10, 10], [10, 4, 1, 1], [1, 3, 9, 4]], [[10, 2, 6, 6], [6, 2, 6, 6], [6, 10, 7, 8], [7, 1, 11, 13], [11, 4, 11, 1]]]
