S-2-3-3-22-NR,0.0003857612609863281,22,[[[1, 1, 1, 2], [1, 1, 2, 2], [2, 1, 1, 2]], [[1, 2, 1, 1], [1, 2, 1, 2], [1, 2, 2, 1]], [[1, 1, 1, 1], [1, 2, 2, 2], [2, 1, 1, 1]]]
S-2-3-3-23-NR,0.00023794174194335938,20,[[[1, 2, 2, 1], [2, 2, 2, 2], [2, 1, 1, 2]], [[2, 1, 1, 2], [1, 2, 1, 1], [1, 2, 2, 1]], [[1, 2, 1, 2], [1, 1, 1, 1], [1, 1, 2, 2]]]
S-2-3-3-24-NR,0.002629518508911133,162,[[[1, 1, 2, 2], [2, 1, 2, 2], [2, 1, 1, 1]], [[2, 2, 2, 1], [2, 2, 1, 2], [1, 1, 1, 2]], [[1, 1, 1, 2], [1, 2, 1, 1], [1, 2, 2, 2]]]
S-2-3-3-25-NR,0.0013201236724853516,81,[[[1, 2, 1, 1], [1, 2, 1, 1], [1, 1, 1, 2]], [[2, 1, 1, 2], [1, 1, 1, 2], [1, 2, 2, 2]], [[1, 2, 1, 2], [1, 2, 2, 2], [2, 2, 2, 2]]]
S-2-3-3-26-NR,0.0004544258117675781,24,[[[1, 2, 1, 2], [1, 1, 2, 1], [2, 1, 1, 1]], [[1, 2, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]], [[2, 1, 2, 2], [2, 1, 2, 1], [2, 1, 2, 1]]]
S-2-3-3-27-NR,0.00144195556640625,98,[[[1, 1, 2, 2], [2, 2, 1, 1], [1, 1, 2, 2]], [[2, 2, 2, 1], [2, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 1, 1], [1, 2, 2, 1], [2, 2, 1, 2]]]
S-2-3-3-28-NR,0.0006015300750732422,35,[[[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 2]], [[1, 1, 1, 1], [1, 1, 1, 2], [1, 2, 2, 2]], [[2, 1, 1, 1], [1, 2, 1, 1], [1, 2, 2, 1]]]
S-2-3-3-29-NR,0.003534078598022461,229,[[[1, 2, 2, 1], [2, 2, 2, 2], [2, 1, 2, 2]], [[2, 1, 1, 2], [1, 2, 1, 1], [1, 2, 2, 2]], [[1, 2, 2, 1], [2, 1, 1, 1], [1, 2, 2, 1]]]
S-2-3-3-30-NR,0.00023794174194335938,14,[[[2, 1, 1, 1], [1, 2, 2, 1], [2, 1, 1, 2]], [[2, 1, 1, 2], [1, 1, 1, 2], [1, 2, 2, 2]], [[1, 2, 1, 2], [1, 2, 1, 1], [1, 2, 1, 1]]]
S-2-3-3-31-NR,0.004108428955078125,330,[[[2, 1, 1, 1], [1, 2, 1, 2], [1, 2, 1, 1]], [[1, 1, 1, 2], [1, 2, 1, 2], [1, 1, 2, 1]], [[1, 2, 1, 1], [1, 2, 1, 1], [1, 1, 1, 1]]]
