S-7-6-6-999-NR,387.3049428462982,41655796,[[[7, 6, 5, 1], [5, 1, 6, 7], [6, 7, 3, 4], [3, 5, 7, 2], [7, 5, 7, 6], [7, 5, 4, 4]], [[4, 1, 1, 3], [1, 7, 1, 2], [1, 4, 6, 7], [6, 2, 5, 2], [5, 6, 2, 7], [2, 4, 2, 6]], [[7, 3, 3, 2], [3, 2, 1, 5], [1, 7, 5, 4], [5, 2, 6, 6], [6, 7, 3, 2], [3, 6, 6, 6]], [[3, 2, 6, 4], [6, 5, 4, 1], [4, 4, 6, 1], [6, 6, 2, 1], [2, 2, 6, 7], [6, 6, 6, 6]], [[7, 4, 2, 4], [2, 1, 7, 3], [7, 1, 7, 5], [7, 1, 3, 1], [3, 7, 7, 2], [7, 6, 6, 4]], [[7, 4, 7, 7], [7, 3, 1, 1], [1, 5, 4, 6], [4, 1, 5, 7], [5, 2, 5, 2], [5, 4, 2, 3]]]
S-7-6-6-99-NR,850.37011885643,90659678,[[[4, 4, 5, 2], [5, 2, 7, 7], [7, 5, 3, 7], [3, 2, 4, 7], [4, 2, 6, 2], [6, 2, 2, 2]], [[7, 2, 4, 6], [4, 7, 2, 7], [2, 7, 5, 3], [5, 7, 1, 6], [1, 2, 5, 6], [5, 2, 1, 7]], [[3, 6, 1, 4], [1, 7, 3, 4], [3, 3, 1, 3], [1, 6, 5, 1], [5, 6, 4, 2], [4, 7, 6, 3]], [[4, 4, 5, 1], [5, 4, 4, 5], [4, 3, 2, 5], [2, 1, 4, 1], [4, 2, 3, 2], [3, 3, 5, 2]], [[6, 1, 6, 2], [6, 5, 6, 7], [6, 5, 4, 5], [4, 1, 2, 5], [2, 2, 6, 2], [6, 2, 6, 1]], [[5, 2, 1, 1], [1, 7, 1, 5], [1, 5, 2, 4], [2, 5, 4, 2], [4, 2, 6, 4], [6, 1, 6, 5]]]
S-7-6-6-100-NR,391.7205924987793,41706751,[[[2, 4, 2, 3], [2, 4, 7, 7], [7, 7, 2, 2], [2, 2, 2, 2], [2, 6, 3, 3], [3, 4, 6, 6]], [[3, 3, 4, 7], [4, 7, 2, 4], [2, 2, 4, 5], [4, 2, 3, 7], [3, 3, 7, 4], [7, 6, 4, 2]], [[5, 7, 7, 6], [7, 4, 6, 1], [6, 5, 2, 1], [2, 7, 5, 4], [5, 4, 2, 7], [2, 2, 7, 7]], [[1, 6, 5, 2], [5, 1, 2, 2], [2, 1, 7, 1], [7, 4, 6, 2], [6, 7, 4, 7], [4, 7, 5, 6]], [[1, 2, 4, 2], [4, 2, 5, 5], [5, 1, 7, 1], [7, 2, 5, 2], [5, 7, 6, 5], [6, 6, 1, 7]], [[6, 2, 5, 4], [5, 5, 6, 3], [6, 1, 3, 1], [3, 2, 6, 6], [6, 5, 5, 6], [5, 7, 2, 3]]]
S-7-6-6-101-NR,318.08985471725464,33325434,[[[5, 7, 4, 7], [4, 2, 5, 3], [5, 5, 2, 4], [2, 3, 7, 3], [7, 4, 2, 6], [2, 1, 6, 7]], [[5, 7, 4, 4], [4, 3, 2, 1], [2, 4, 4, 4], [4, 3, 3, 2], [3, 6, 1, 6], [1, 7, 2, 7]], [[5, 4, 5, 6], [5, 1, 3, 6], [3, 4, 7, 3], [7, 2, 4, 7], [4, 6, 4, 2], [4, 7, 2, 4]], [[3, 6, 1, 4], [1, 6, 6, 6], [6, 3, 4, 1], [4, 7, 7, 4], [7, 2, 2, 5], [2, 4, 4, 1]], [[6, 4, 3, 7], [3, 6, 1, 3], [1, 1, 6, 3], [6, 4, 1, 3], [1, 5, 5, 7], [5, 1, 7, 2]], [[2, 7, 1, 3], [1, 3, 4, 4], [4, 3, 2, 1], [2, 3, 3, 3], [3, 7, 1, 2], [1, 2, 2, 1]]]
S-7-6-6-102-NR,272.4463908672333,29128652,[[[2, 6, 6, 7], [6, 5, 4, 4], [4, 3, 2, 5], [2, 2, 2, 1], [2, 5, 7, 1], [7, 6, 6, 6]], [[5, 7, 2, 5], [2, 4, 5, 4], [5, 5, 5, 7], [5, 1, 2, 6], [2, 1, 5, 5], [5, 6, 2, 2]], [[4, 5, 4, 5], [4, 4, 4, 6], [4, 7, 4, 6], [4, 6, 1, 2], [1, 5, 5, 1], [5, 2, 3, 7]], [[5, 5, 3, 4], [3, 6, 6, 2], [6, 6, 5, 4], [5, 2, 6, 5], [6, 1, 4, 7], [4, 7, 4, 4]], [[5, 4, 2, 7], [2, 2, 2, 3], [2, 4, 2, 1], [2, 5, 5, 2], [5, 7, 6, 3], [6, 4, 5, 4]], [[1, 7, 2, 6], [2, 3, 5, 5], [5, 1, 5, 5], [5, 2, 4, 5], [4, 3, 6, 6], [6, 4, 5, 2]]]
S-7-6-6-103-NR,399.5922305583954,42319964,[[[6, 4, 7, 1], [7, 6, 1, 2], [1, 6, 1, 6], [1, 6, 2, 5], [2, 7, 5, 3], [5, 2, 6, 2]], [[1, 1, 6, 4], [6, 2, 7, 6], [7, 6, 5, 6], [5, 5, 6, 4], [6, 3, 2, 7], [2, 2, 5, 6]], [[6, 4, 5, 7], [5, 6, 7, 5], [7, 6, 2, 1], [2, 4, 3, 2], [3, 7, 5, 2], [5, 6, 1, 6]], [[6, 7, 5, 5], [5, 5, 4, 7], [4, 1, 3, 6], [3, 2, 3, 2], [3, 2, 7, 5], [7, 6, 4, 7]], [[4, 5, 4, 5], [4, 7, 2, 6], [2, 6, 5, 3], [5, 2, 1, 4], [1, 5, 7, 2], [7, 7, 3, 2]], [[7, 5, 4, 6], [4, 6, 5, 1], [5, 3, 3, 4], [3, 4, 1, 1], [1, 2, 4, 2], [4, 2, 2, 5]]]
S-7-6-6-104-NR,438.8066031932831,46876186,[[[1, 7, 1, 7], [1, 2, 2, 5], [2, 6, 3, 4], [3, 7, 3, 5], [3, 2, 2, 6], [2, 4, 3, 3]], [[1, 7, 4, 1], [4, 5, 4, 4], [4, 4, 5, 2], [5, 5, 3, 2], [3, 6, 7, 5], [7, 3, 6, 1]], [[2, 1, 1, 1], [1, 4, 5, 7], [5, 2, 7, 1], [7, 2, 7, 2], [7, 5, 3, 5], [3, 1, 7, 4]], [[7, 1, 3, 1], [3, 7, 3, 5], [3, 1, 5, 2], [5, 2, 7, 7], [7, 5, 1, 1], [1, 4, 1, 6]], [[2, 1, 6, 4], [6, 5, 7, 7], [7, 2, 5, 4], [5, 7, 6, 2], [6, 1, 2, 2], [2, 6, 1, 2]], [[2, 4, 7, 1], [7, 7, 5, 1], [5, 4, 2, 6], [2, 2, 1, 7], [1, 2, 5, 3], [5, 2, 3, 6]]]
slurmstepd: error: *** JOB 12944656 ON cdr991 CANCELLED AT 2018-10-30T03:17:15 DUE TO TIME LIMIT ***
S-7-6-6-106-NR,147.14775967597961,15637116,[[[6, 4, 4, 3], [4, 1, 6, 4], [6, 5, 6, 2], [6, 5, 2, 3], [2, 7, 3, 4], [3, 4, 1, 3]], [[7, 3, 1, 3], [1, 4, 3, 3], [3, 2, 7, 7], [7, 3, 2, 2], [2, 4, 4, 1], [4, 3, 3, 1]], [[7, 3, 1, 6], [1, 3, 3, 1], [3, 7, 6, 2], [6, 2, 7, 6], [7, 1, 3, 4], [3, 1, 1, 6]], [[2, 6, 5, 3], [5, 1, 5, 3], [5, 2, 4, 4], [4, 6, 4, 2], [4, 4, 2, 2], [2, 6, 7, 4]], [[4, 3, 2, 2], [2, 3, 2, 2], [2, 4, 3, 5], [3, 2, 5, 2], [5, 2, 2, 3], [2, 4, 3, 3]], [[4, 2, 2, 4], [2, 2, 5, 6], [5, 5, 7, 6], [7, 2, 7, 3], [7, 3, 7, 6], [7, 3, 2, 6]]]
S-7-6-6-107-NR,1324.8644003868103,142079227,[[[2, 5, 2, 2], [2, 6, 5, 2], [5, 7, 2, 6], [2, 5, 5, 2], [5, 6, 2, 3], [2, 4, 4, 1]], [[7, 2, 1, 2], [1, 2, 1, 4], [1, 6, 2, 2], [2, 2, 4, 3], [4, 3, 1, 2], [1, 1, 3, 3]], [[2, 2, 4, 4], [4, 4, 7, 7], [7, 2, 2, 1], [2, 3, 5, 3], [5, 2, 4, 3], [4, 3, 4, 7]], [[5, 4, 3, 7], [3, 7, 1, 7], [1, 1, 4, 6], [4, 3, 6, 3], [6, 3, 2, 2], [2, 7, 7, 2]], [[1, 7, 5, 1], [5, 7, 5, 7], [5, 6, 4, 2], [4, 3, 7, 6], [7, 2, 7, 6], [7, 2, 3, 2]], [[3, 1, 6, 5], [6, 7, 3, 1], [3, 2, 7, 6], [7, 6, 4, 6], [4, 6, 4, 3], [4, 2, 7, 3]]]
S-7-6-6-108-NR,298.10985016822815,37647729,[[[2, 6, 1, 5], [1, 7, 3, 6], [3, 1, 7, 4], [7, 6, 2, 6], [2, 4, 6, 5], [6, 6, 3, 6]], [[4, 5, 1, 6], [1, 6, 6, 5], [6, 4, 7, 4], [7, 6, 1, 3], [1, 5, 7, 6], [7, 6, 2, 3]], [[1, 6, 6, 2], [6, 5, 2, 5], [2, 4, 7, 4], [7, 3, 2, 1], [2, 6, 1, 4], [1, 3, 3, 7]], [[7, 2, 5, 1], [5, 5, 4, 2], [4, 4, 3, 2], [3, 1, 6, 4], [6, 4, 6, 6], [6, 7, 2, 1]], [[2, 1, 3, 7], [3, 2, 7, 7], [7, 2, 2, 2], [2, 4, 5, 3], [5, 6, 5, 2], [5, 1, 6, 1]], [[2, 7, 7, 2], [7, 7, 2, 3], [2, 2, 5, 1], [5, 3, 7, 2], [7, 2, 4, 1], [4, 1, 5, 4]]]
